price,size,rooms,bathrooms,district,neighborhood
395000,121,3,2,La Palmera - Los Bermejales,La Palmera - Manuel Siurot
375000,148,3,2,Nervión,Nervión
450000,115,3,2,Nervión,Nervión
694000,241,5,4,Los Remedios,Ramón de Carranza - Madre Rafols
435000,197,6,3,Nervión,Nervión
320000,117,3,3,Nervión,Gran Plaza - Marqués de Pickman - Ciudad Jardín
790000,270,5,3,Los Remedios,Plaza de Cuba - República Argentina
220000,76,2,1,Centro,Plaza de la Gavidia-San Lorenzo
490000,138,3,2,Centro,Plaza de la Gavidia-San Lorenzo
559000,128,2,2,Centro,Alameda
485000,162,4,3,Los Remedios,Asunción - Adolfo Suárez
370000,134,4,2,Centro,Arenal - Museo - Tetuán
358000,90,2,2,Centro,San Vicente
740000,115,3,2,Centro,Arenal - Museo - Tetuán
775000,317,8,4,La Palmera - Los Bermejales,Reina Mercedes - Heliópolis
950000,183,5,2,Centro,Santa Cruz - Alfalfa
520000,187,4,2,Centro,Arenal - Museo - Tetuán
800000,242,5,3,Centro,Santa Cruz - Alfalfa
148500,159,3,2,Barrio Alto,
270000,130,4,2,Nervión,Luis Montoto - Santa Justa
670000,151,4,3,Centro,Arenal - Museo - Tetuán
1565000,256,6,4,Centro,Arenal - Museo - Tetuán
205000,75,3,2,La Palmera - Los Bermejales,Bami - Pineda
320000,108,3,2,Triana,Ronda de Triana-Patrocinio-Turruñuelo
280000,83,3,1,Centro,Arenal - Museo - Tetuán
155000,66,2,1,Santa Justa - Miraflores - Cruz Roja,Arroyo - Santa Justa
230000,68,2,2,Triana,López de Gomara
550000,124,3,2,Centro,Arenal - Museo - Tetuán
359000,102,3,2,Nervión,Nervión
280000,80,3,2,Nervión,Gran Plaza - Marqués de Pickman - Ciudad Jardín
339000,95,3,2,Triana,Calle Betis - Pagés del Corro
330000,106,3,2,Los Remedios,Ramón de Carranza - Madre Rafols
170000,66,2,1,Santa Justa - Miraflores - Cruz Roja,Arroyo - Santa Justa
250000,73,3,1,Centro,Puerta Carmona-Puerta Osario-Amador de los Ríos
300000,100,2,1,Centro,San Vicente
289000,82,3,2,Triana,Ronda de Triana-Patrocinio-Turruñuelo
325000,110,3,2,Nervión,Nervión
499000,189,5,2,Los Remedios,Ramón de Carranza - Madre Rafols
589000,174,4,3,Centro,Encarnación-Las Setas
319000,111,3,2,Los Remedios,Asunción - Adolfo Suárez
199000,59,1,1,Nervión,Luis Montoto - Santa Justa
295000,158,3,1,Triana,López de Gomara
372000,99,2,1,Centro,San Vicente
330000,140,4,2,Nervión,Nervión
380000,189,6,3,Nervión,Nervión
368000,90,2,2,Centro,San Vicente
290000,114,3,2,Nervión,Luis Montoto - Santa Justa
132260,114,4,2,Cerro Amate,Santa Aurelia
450000,114,3,2,Nervión,Nervión
287000,96,4,2,San Pablo,San Pablo
